Archival Resource, crm:P102_has_title, L'Orlando Furioso
Archival Resource, crm:P108_was_produced_by, Alessandro Cervellati
Archival Resource, crm:P45_consists_of, Ink and watercolor
Archival Resource, lido:resourceDateTaken, 1969
Archival Resource, crm:P52_has_current_owner, Biblioteca dell'Archiginnasio
Archival Resource, crm:P55_has_current_location, Bologna
Archival Resource, crm:P138_represents, Ronconi's play 'Orlando Furioso'
Archival Resource, crm:P72_has_language, Italian
Archival Resource, crm:P2:has_type, flyer
Archival Resource, crm:P3_note, a flyer promoting the performance of Ronconi's play 'Orlando Furioso' in Piazza Maggiore, in Bologna
